Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
24,문보경,26 DH,0.75,25,0.80,-0.05,112,111,86,11,26,3,0,3,38,15,0,0,23,1,2,19,3,0,2,0.302,0.446,0.442,0.888,0.183,167.5,0.75
25,박건우,26 RF,0.73,26,0.81,-0.07,102,101,89,11,26,5,0,6,49,16,3,1,13,0,2,22,2,0,0,0.292,0.382,0.551,0.933,0.179,147.7,0.73
26,디아즈,26 1B,0.64,26,0.43,0.20,116,116,101,16,29,4,0,4,45,18,0,0,13,0,0,17,3,0,2,0.287,0.362,0.446,0.808,0.141,113.3,0.64
27,이주형,26 CF,0.58,20,0.74,-0.17,90,90,82,12,22,8,1,2,38,12,4,0,5,3,0,17,0,0,0,0.268,0.333,0.463,0.796,0.137,126.0,0.58
28,나성범,26 DH,0.57,25,0.58,-0.01,107,107,90,13,24,4,0,4,40,16,0,0,14,2,0,31,0,0,1,0.267,0.374,0.444,0.818,0.151,128.9,0.57
29,박동원,26 C,0.55,25,0.49,0.06,92,92,76,11,18,5,0,1,26,12,0,1,12,2,0,24,3,0,2,0.237,0.348,0.342,0.690,0.111,102.1,0.55
30,김상수,26 2B,0.52,25,0.44,0.08,99,97,79,8,21,3,0,0,24,6,0,1,16,1,0,10,3,2,1,0.266,0.392,0.304,0.696,0.125,100.6,0.52
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
31,김현수,26 1B,0.48,27,0.37,0.11,126,126,114,17,34,9,0,3,52,21,0,2,12,0,0,15,4,0,0,0.298,0.365,0.456,0.821,0.148,119.7,0.48
32,데일,26 SS,0.45,26,0.61,-0.16,110,105,94,16,27,4,0,1,34,6,1,0,11,0,1,11,4,4,1,0.287,0.358,0.362,0.720,0.114,97.7,0.45
33,안치홍,26 DH,0.39,26,0.58,-0.20,115,115,99,11,28,7,0,2,41,7,0,0,16,0,0,19,4,0,0,0.283,0.383,0.414,0.797,0.148,138.7,0.39
34,박해민,26 CF,0.36,26,0.10,0.26,106,104,90,7,22,5,0,0,27,7,6,1,9,3,0,12,0,2,2,0.244,0.327,0.300,0.627,0.086,78.1,0.36
35,홍창기,26 RF,0.34,22,0.36,-0.02,97,97,72,12,13,3,1,0,18,4,2,0,21,4,0,21,1,0,0,0.181,0.392,0.250,0.642,0.126,116.1,0.34
36,김건희,26 C,0.34,26,0.42,-0.08,94,93,78,7,20,4,0,1,27,11,0,0,13,0,1,28,3,0,3,0.256,0.351,0.346,0.697,0.107,99.7,0.34
37,카메론,26 RF,0.34,27,0.48,-0.14,111,111,105,13,30,9,1,5,56,13,3,0,4,1,0,27,5,0,1,0.286,0.315,0.533,0.848,0.144,122.6,0.34
38,김형준,26 C,0.27,25,0.18,0.09,80,80,69,5,17,2,0,1,22,11,0,0,10,1,0,26,2,0,0,0.246,0.350,0.319,0.669,0.105,86.6,0.27
39,강백호,26 DH,0.26,26,0.26,0.00,118,118,106,13,30,6,0,4,48,30,0,0,11,0,0,22,0,0,1,0.283,0.347,0.453,0.800,0.136,115.4,0.26
40,오지환,26 SS,0.25,25,0.34,-0.09,97,95,81,10,20,3,0,1,26,16,1,1,10,2,0,15,1,2,2,0.247,0.337,0.321,0.658,0.097,87.8,0.25
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
41,양의지,26 C,0.24,27,0.35,-0.11,114,114,91,8,20,4,0,2,30,11,0,0,13,6,0,9,3,0,4,0.220,0.342,0.330,0.672,0.106,90.2,0.24
42,한태양,26 2B,0.21,24,0.10,0.12,83,82,74,9,18,3,0,0,21,1,4,0,7,1,0,20,0,1,0,0.243,0.317,0.284,0.601,0.076,63.9,0.21
43,최지훈,26 CF,0.21,26,0.13,0.09,107,106,96,18,20,5,1,4,39,15,3,0,7,2,0,16,2,1,1,0.208,0.274,0.406,0.680,0.090,71.9,0.21
44,힐리어드,26 LF,0.12,27,0.10,0.02,122,122,107,19,23,3,1,5,43,19,2,0,12,0,0,37,1,0,3,0.215,0.287,0.402,0.689,0.092,74.8,0.12
45,데이비슨,26 DH,0.09,25,-0.01,0.10,101,101,90,11,21,5,0,4,38,13,1,0,6,4,0,22,2,0,1,0.233,0.307,0.422,0.729,0.111,91.2,0.09
46,에레디아,26 LF,0.03,26,-0.22,0.24,114,114,107,11,26,3,0,5,44,19,0,2,5,1,0,25,2,0,1,0.243,0.281,0.411,0.692,0.089,71.5,0.03
47,노진혁,26 1B,0.01,26,0.34,-0.33,104,103,91,6,25,8,0,4,45,12,0,0,11,0,0,22,2,1,1,0.275,0.350,0.495,0.845,0.151,125.7,0.01
48,강민호,26 C,-0.06,25,0.00,-0.07,80,80,69,4,14,3,0,0,17,8,0,2,10,1,0,25,1,0,0,0.203,0.313,0.246,0.559,0.069,55.7,-0.06
49,카스트로,26 LF,-0.16,23,-0.03,-0.13,93,93,88,15,22,9,0,2,37,16,0,0,4,0,0,22,4,0,1,0.250,0.280,0.420,0.700,0.092,79.7,-0.16
50,브룩스,26 1B,-0.18,26,0.00,-0.18,115,115,98,9,24,6,0,0,30,13,1,0,14,1,0,17,1,0,2,0.245,0.339,0.306,0.645,0.095,89.0,-0.18
