Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,season
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
23,전준우,23 DH,3.53,138,3.86,-0.34,559,556,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.163,134.5,3.53,2023
24,박해민,23 CF,3.46,144,2.54,0.92,558,534,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,0.117,103.4,3.46,2023
25,강민호,23 C,3.40,125,3.70,-0.30,495,492,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.290,0.366,0.445,0.811,0.149,123.5,3.40,2023
26,장성우,23 C,3.40,131,3.26,0.14,464,460,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.136,110.5,3.40,2023
27,황재균,23 3B,3.24,109,2.80,0.44,457,454,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,0.295,0.366,0.413,0.779,0.142,116.0,3.24,2023
28,양석환,23 1B,2.92,140,2.51,0.41,582,579,524,73,147,28,0,21,238,89,4,0,41,6,3,133,9,0,11,0.281,0.333,0.454,0.787,0.135,119.4,2.92,2023
29,박병호,23 1B,2.75,132,2.00,0.75,493,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.800,0.144,118.2,2.75,2023
30,이재현,23 SS,2.73,143,2.52,0.22,538,522,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,0.249,0.330,0.378,0.708,0.115,95.9,2.73,2023
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,2023
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,2023
31,김선빈,23 2B,2.71,119,2.92,-0.21,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.320,0.381,0.358,0.739,0.132,114.9,2.71,2023
32,김민혁,23 RF,2.63,113,1.87,0.76,448,441,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,0.128,104.9,2.63,2023
33,로하스,23 LF,2.59,122,3.35,-0.76,464,463,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.151,133.5,2.59,2023
34,안치홍,23 2B,2.38,121,2.84,-0.46,494,487,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.400,0.774,0.142,117.5,2.38,2023
35,김상수,23 SS,2.35,129,2.78,-0.43,512,504,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,0.271,0.353,0.339,0.692,0.116,95.3,2.35,2023
36,김주원,23 SS,2.30,127,2.37,-0.07,474,466,403,56,94,9,2,10,137,54,15,3,44,15,1,106,6,8,4,0.233,0.328,0.340,0.668,0.106,89.8,2.30,2023
